Order,Action,Time
1, PEGAR O PRODUTO SOBRE A MESA DE DESMANCHE,"1,8"
2, POSICIONAR O PRODUTO SOBRE O PALLET,"3,4"
3, PEGAR PARAFUSO E PARAFUSADEIRA,"1,2"
4, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"1,5"
5, FIXAR PARAFUSO NA CANTONEIRA,"2,5"
6, POSICIONAR PARAFUSADEIRA NO SUPORTE,"0,76"
7, GIRAR O PRODUTO,"1,1"
8, APERTAR BOTOEIRA E LIBERAR O PRODUTO,"1,46"
9, PEGAR PORCA DO COMPRESSOR,"2,42"
10, PEGAR O COMPRESSOR SOBRE O PALLET,"3,92"
11, POSICIONAR O COMPRESSOR NO PRODUTO,"2,76"
12, PEGAR PARAFUSADEIRA RETA,"0,86"
13, POSCIONAR 1° PORCA NA PARAFUSADEIRA RETA,"0,8"
14, FIXAR 1°PORCA NO COMPRESSOR,"2,73"
15, POSCIONAR 2° PORCA NA PARAFUSADEIRA RETA,"0,63"
16, FIXAR 2° PORCA NO COMPRESSOR,"1,99"
17, POSICIONAR 3°PORCA NA PARAFUSADEIRA RETA,"1,56"
18, FIXAR 3° PORCA NO COMPRESSOR,"1,7"
19, RETIRAR OS TAPULHOS DO COMPRESSOR,"2,01"
20, DESCARTAR TAPUILHOS NA LIXEIRA,"1,03"
21, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"2,13"
22, PEGAR PARAFUSADEIRA E PARAFUSO,"1,13"
23, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"1,23"
24, PEGAR VÁLVULA DE SERVIÇO DESCARGA E SUCÇÃO NO MARFINITE,"2,96"
25, POSICIONAR A VALVULA DE DESCARGA NO PRODUTO,"1,76"
26, FIXAR O 1° PARAFUSO VALVULA DE DESCARGA,"2,4"
27, FIXAR O 2°PARAFUSO VÁLVULA DE DESCARGA,"4,33"
28, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"2,46"
29, POSICIONAR VÁLVULA DE SUCÇÃO NO PRODUTO,"1,33"
30, FIXAR O 1°PARAFUSO VÁLVULA DE SUCÇÃO,"1,33"
31, FIXAR O 2°PARAFUSO VÁLVULA DE SUCÇÃO,"1,66"
32, POSICIONAR PARAFUSADEIRA NO SUPORTE,"0,9"
33, PEGAR O CAPILAR E O COMPLEMENTO DO CAPILAR NO MARFINITE,"1,16"
34, POSICIONAR O CAPILAR NO PRODUTO,"8,3"
35, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,2
36, PEGAR O TUBO DE DESCARGA,"0,96"
37, PEGAR A BORRACHA DE TREPIDAÇÃO NO MARFINITE,"1,46"
38, POSICIONAR A BORRACHA DE TREPIDAÇÃO NO TUBO DE DESCARGA,"2,5"
39, FIXAR PRESILHA NA BORRACHA DE TREPIDAÇÃO,"5,6"
40, POSICIONAR A TUBULAÇÃO DE DESCARGA NO SUPORTE,"2,66"
41, PEGAR A TUBULAÇÃO DE SUCÇÃO,"1,23"
42, PEGAR BORRACHA DE TREPIDAÇÃO,"1,73"
43, POSICIONAR BORRACHA DE TREPIDAÇÃO NO TUBO DE SUCÇÃO,"3,1"
44, PEGAR ABRAÇADEIRA DE PLÁSTICO,"1,1"
45, FIXAR ABRAÇADEIRA DE TREPIDAÇÃO,"3,47"
46, POSICIONAR TUBULAÇÃO DE SUCÇAO SOBRE A MESA,"2,13"
47, PEGAR A VÁLVULA REVERSORA NA CAIXA,"1,3"
48, RETIRAR A PROTEÇÃO PLÇASTICA DA VÁLVULA REVERSORA,"1,83"
49, POSICIONAR A VÁLVULA REVERSORA NO DISPOSITIVO,1
50, PEGAR O TUBO DE DESCARGA,"0,8"
51, POSICIONAR O TUBO DE DESCARGA NO DISPOSITIVO,"2,23"
52, PEGAR O TUBO DE SUÇÃO,"1,03"
53, POSICIONAR O TUBO DE SUCÇÃO NO DISPOSITIVO,"2,13"
54, PEGAR O TUBO DE COMPLEMENTO DE SUCÇÃO,"1,23"
55, POSICIONAR O TUBO DE COMPLEMENTO DE SUCÇÃO NO DISPOSITIVO,"4,23"
56, PEGAR O TUBO DE COMPLEMENTO DE DESCARGA,"0,94"
57, POSICIONAR O TUBO DE COMPLEMENTO DE DESCARGA NO DISPOSITIVO,"1,52"
58, PEGAR A VARETA DE SOLDA E MAÇARICO,"1,06"
59, SOLDAR OS 4 PONTOS DE SOLDA,"17,01"
60, POSICIONAR O MAÇARICO NO DISPOSITIVO,"1,36"
61, ESFRIAR E DISPONIBILIZAR O TUBO PARA O PROXIMO POSTO,"5,77"
62, PEGAR A TUBULAÇÃO NO DISPOSITIVO,"3,37"
63, POSICIONAR A TUBULAÇÃO NO COMPRESSOR,"15,34"
64, APERTAR BOTOEIRA E DISPONIBILIZAR O PRODUTO,"1,74"
65, POSICIONAR AS TUBULAÇÕES,"3,27"
66, PEGAR O MAÇARICO E VARETA DE SOLDA,"2,56"
67, ACENDER O MAÇARICO,"1,1"
68, SOLDAR OS 3 PONTOS DE SOLDA,"18,36"
69, POSICIONAR O MAÇARICO NO SUPORTE,"1,53"
70, APERTAR BOTOEIRA E LIBERAR O PRODUTO,"4,74"
71, ARRUMAR A TUBULAÇÃO,"2,06"
72, PEGAR A VARETA DE SOLDA E MAÇARICO,"1,3"
73, ACENDER O MAÇARICO,"1,1"
74, SOLDAR OS 3 PONTOS DE SOLDA,"13,3"
75, POSICIONAR O MAÇARICO NO SUPORTE,"1,8"
76, GIRAR O PRODUTO,"1,43"
77, APERTAR A BOTOEIRA PARA LIBERAR O PRODUTO,"1,37"
78, PEGAR O MOTOR VENTILADOR SOBRE O FLOW RACK,"3,17"
79, POSICIONAR O MOTOR VENTILADOR SOBRE A BASE DO PRODUTO,"1,96"
80, PASSAR A FIAÇÃO DO MOTOR VENTILADOR NO CENTRO DO SUPORTE DO MOTOR VENTILADOR,"6,6"
81, PEGAR PARAFUSOS E PARAFUSADEIRA,"2,2"
82, PEGAR O MOTOR VENTILADOR SOBRE A BASE DO PRODUTO,"1,8"
83, POSICIONAR O MOTOR VENTILADOR NO SUPORTE DO MOTOR VENTILADOR,"1,96"
84, PEGAR PARAFUSADEIRA,"1,03"
85, POSICIONAR 1° PARAFUSO NA PARAFUSADEIRA,"0,96"
86, FIXAR 1°PARAFUSO NO SUPORTE DO MOTOR VENTILADOR,"3,53"
87, POSICIONAR O 2°PARAFUSO NA PARAFUSADEIRA,"2,6"
88, FIXAR O 2°PARAFUSO NO SUPORTE DO MOTOR VENTILADOR,"3,63"
89, POSICIONAR O 3°PARAFUSO NA PARAFUSADEIRA,"2,96"
90, FIXAR O 3°PARAFUSO NO SUPORTE DO MOTOR VENTILADOR,"1,53"
91, POSICIONAR O 4°PARAFUSO NA PARAFUSADEIRA,"1,63"
92, FIXAR O 4°PARAFUSO MOTOR VENTILADOR NO SUPORTE DO MOTOR VENTILADOR,"1,6"
93, PEGAR A FIAÇÃO DO MOTOR VENTILADOR,"0,96"
94, FIXAR A FIAÇÃO DO MOTOR VENTILADOR NO SUPORTE DO MOTOR VENTILADOR,"3,43"
95, PEGAR AXIAL,"3,4"
96, POSICIONAR AXIAL NO MOTOR VENTILADOR,"11,01"
97, PEGAR PORCA E PARAFUSADEIRA,"3,43"
98, POSICIONAR PORCA NA PARAFUSADEIRA,"0,8"
99, FIXAR PORCA NO AXIAL,"2,4"
100, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"2,1"
101, PEGAR O ENGATE E BICONETE,"3,2"
102, POSICIONAR O ENGATE NO TUBO DO CAPILAR,3
103, ENROSCAR O BICONETE NA VÁLVULA DE SUCÇÃO,"9,3"
104, PEGAR CHAVE COMBINADA,"1,3"
105, APERTAR O BICONETE COM CHAVE COMBINADA,"2,7"
106, PEGAR A BOBINA REVERSORA NA CAIXA,"2,1"
107, POSICIONAR A BOBINA REVERSORA NO TUBO,"2,1"
108, PEGAR PARAFUSADEIRA E PARAFUSO,"2,9"
109, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"1,06"
110, FIXAR PARAFUSO NA VÁLVULA REVERSORA,"4,5"
111, POSICIONAR PARAFUSADEIRA NO SUPORTE,"1,6"
112, PEGAR A MANGUEIRA DE H2N2,"0,96"
113, POSICIONAR A MANGUEIRA DE H2N2 NO ENGATE DO CAPILAR,"2,16"
114, FAZER O TESTE DE VAZAMENTO COM SENSISTOR,"9,87"
115, POSICIONAR A PONTEIRA DO SENSISTO SOBRE A MESA,"1,1"
116, RETIRAR A MANGUEIRA DE H2N2,"1,3"
117, APERTAR BOTOEIRA E LIBERAR O PRODUTO,"2,2"
118, PEGAR A MANGUEIRA DE RECOLHIMENTO DE H2N2,"1,36"
119, POSICIONAR A MANGUEIRA DE RECOLHIMENTO DE HN,"1,8"
120, PEGAR O CÓDIGO DO PRODUTO NO MARFINITE,"0,63"
121, POSICIONAR O CÓDIGO SOBRE A BASE DO PRODUTO,"1,33"
122, RETIRAR A MANGUEIRA DE RECOLHIMENTO,"1,9"
123, POSICIONAR A MANGUEIRA DE PRÉ VÁCUO,"1,1"
124, PEGAR MURFÚLA,1
125, DESTACAR PAPEL DA MÚRFULA,"1,1"
126, POSICIONAR MURFULA NO TUBO DE DESCARGA,"2,06"
127, PEGAR MÚRFULA DO CAPILAR,"0,63"
128, DESTACAR PAPEL DA MÚRFULA,"1,1"
129, POSICIONAR MÚRFULA NO TUBO DO CAPILAR,"1,93"
130, PEGAR PRESILHA METÁLICA DO TERMOSTATO,"1,36"
